name,type,lat,lon,cuisine,source
Nandini Restaurant,restaurant,12.9959044,77.6130336,indian,OSM
Udupi Shanthi Sagar,restaurant,12.9958364,77.6131543,indian,OSM
Domino's,fast_food,12.9973354,77.6106956,pizza,OSM
Ponnuswamy Restaurant,restaurant,12.9961448,77.6112526,,OSM
Al-Siddique Kabab Center,restaurant,12.9931105,77.6089191,,OSM
Siddique Kabab Center,restaurant,12.9934162,77.608356,,OSM
Komala Refreshment,restaurant,12.9960742,77.6170891,,OSM
Domino's,fast_food,13.015204,77.6661513,pizza,OSM
Kairali Restaurant,restaurant,12.9352294,77.6076048,,OSM
Little Italy,restaurant,12.9343755,77.6090481,italian,OSM
Karavali Fine Dine,restaurant,12.935785,77.6076261,,OSM
Sultan of Spice,restaurant,12.9335261,77.6152234,,OSM
